userId,movieId,rating,genres
1,1,4.0,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']"
1,3,4.0,"['Comedy', 'Romance']"
1,6,4.0,"['Action', 'Crime', 'Thriller']"
1,47,5.0,"['Mystery', 'Thriller']"
1,50,5.0,"['Crime', 'Mystery', 'Thriller']"
1,70,3.0,"['Action', 'Comedy', 'Horror', 'Thriller']"
1,101,5.0,"['Adventure', 'Comedy', 'Crime', 'Romance']"
1,110,4.0,"['Action', 'Drama', 'War']"
1,157,5.0,"['Comedy', 'War']"
1,216,5.0,['Comedy']
1,223,3.0,['Comedy']
1,231,5.0,"['Adventure', 'Comedy']"
1,235,4.0,"['Comedy', 'Drama']"
1,260,5.0,"['Action', 'Adventure', 'Sci-Fi']"
1,316,3.0,"['Action', 'Adventure', 'Sci-Fi']"
1,349,4.0,"['Action', 'Crime', 'Drama', 'Thriller']"
1,356,4.0,"['Comedy', 'Drama', 'Romance', 'War']"
1,367,4.0,"['Action', 'Comedy', 'Crime', 'Fantasy']"
1,441,4.0,['Comedy']
1,457,5.0,['Thriller']
1,480,4.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
1,500,3.0,"['Comedy', 'Drama']"
1,527,5.0,"['Drama', 'War']"
1,543,4.0,"['Comedy', 'Romance', 'Thriller']"
1,552,4.0,"['Action', 'Adventure', 'Comedy', 'Romance']"
1,553,5.0,"['Action', 'Drama', 'Western']"
1,590,4.0,"['Adventure', 'Drama', 'Western']"
1,592,4.0,"['Action', 'Crime', 'Thriller']"
1,596,5.0,"['Animation', 'Children', 'Fantasy', 'Musical']"
1,608,5.0,"['Comedy', 'Crime', 'Drama', 'Thriller']"
1,661,5.0,"['Adventure', 'Animation', 'Children', 'Fantasy', 'Musical']"
1,673,3.0,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy', 'Sci-Fi']"
1,733,4.0,"['Action', 'Adventure', 'Thriller']"
1,736,3.0,"['Action', 'Adventure', 'Romance', 'Thriller']"
1,780,3.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
1,804,4.0,"['Comedy', 'Romance']"
1,919,5.0,"['Adventure', 'Children', 'Fantasy', 'Musical']"
1,923,5.0,"['Drama', 'Mystery']"
1,940,5.0,"['Action', 'Adventure', 'Romance']"
